date,departure_time,weekday,month,origin,destination,travel_time_mins,delay_mins,congestion_level,is_raining,recommended_departure
2020-01-31,10:30,4,1,Borivali,Churchgate,48,21,Very High,No,09:30
2020-12-19,12:45,5,12,Thane,Kurla,26,3,Low,No,12:45
2022-07-06,02:45,2,7,Navi Mumbai,CST,25,4,Low,No,02:45
2022-07-28,10:00,3,7,Kandivali,Goregaon,67,28,High,No,09:00
2022-02-08,11:45,1,2,Malad,Lower Parel,21,20,Medium,No,11:45
2022-01-28,09:45,4,1,Kandivali,Goregaon,46,28,High,No,08:45
2020-04-01,04:45,2,4,Andheri,BKC,25,5,Low,No,04:45
2022-02-19,10:15,5,2,Andheri,BKC,61,25,High,No,09:15
2020-04-06,12:45,0,4,Powai,Andheri,32,15,Low,No,12:45
2021-07-18,03:15,6,7,Powai,Andheri,18,1,Low,Yes,03:15
2022-04-22,02:30,4,4,Borivali,Churchgate,25,5,Low,No,02:30
2021-09-25,06:45,5,9,Bandra,Worli,19,8,Medium,No,06:45
2021-05-23,08:00,6,5,Powai,Andheri,45,16,Low,No,08:00
2021-09-10,06:30,4,9,Kandivali,Goregaon,36,12,Low,Yes,06:30
2022-04-02,14:45,5,4,Andheri,BKC,36,11,Low,No,14:45
2020-06-02,07:45,1,6,Malad,Lower Parel,50,11,Medium,No,07:45
2021-05-04,21:00,1,5,Vasai,Virar,36,19,Medium,No,21:00
2021-08-04,22:15,2,8,Kandivali,Goregaon,47,5,Medium,No,22:15
2021-06-27,03:15,6,6,Malad,Lower Parel,20,1,Low,No,03:15
2022-03-25,18:30,4,3,Bandra,Worli,65,45,High,No,17:30
2020-05-09,15:30,5,5,Kandivali,Goregaon,34,9,Medium,No,15:30
2020-07-26,07:00,6,7,Dadar,Nariman Point,28,6,Medium,No,07:00
2021-03-04,18:45,3,3,Borivali,Churchgate,91,34,High,No,17:45
2021-04-28,12:45,2,4,Dadar,Nariman Point,48,19,Medium,Yes,12:45
2022-01-24,04:45,0,1,Powai,Andheri,22,0,Low,No,04:45
2021-05-27,11:00,3,5,Bandra,Worli,30,13,Medium,No,11:00
2022-04-20,03:15,2,4,Thane,Kurla,23,1,Low,No,03:15
2020-10-14,11:15,2,10,Navi Mumbai,CST,28,16,Low,No,11:15
2020-12-23,23:15,2,12,Bandra,Worli,31,14,Medium,No,23:15
2020-08-27,06:15,3,8,Thane,Kurla,59,22,Medium,Yes,06:15
2021-05-25,21:15,1,5,Thane,Kurla,41,10,Low,No,21:15
2020-04-25,14:15,5,4,Kandivali,Goregaon,28,3,Medium,No,14:15
2020-03-11,13:30,2,3,Borivali,Churchgate,39,17,Low,No,13:30
2021-04-12,06:15,0,4,Dadar,Nariman Point,50,20,Medium,No,06:15
2020-03-08,13:45,6,3,Kandivali,Goregaon,23,7,Medium,No,13:45
2020-03-12,09:45,3,3,Dadar,Nariman Point,82,24,Very High,No,08:45
2020-01-20,06:00,0,1,Borivali,Churchgate,26,11,Medium,No,06:00
2022-01-20,19:15,3,1,Bandra,Worli,100,32,Very High,No,18:15
2021-02-14,22:30,6,2,Malad,Lower Parel,19,3,Medium,No,22:30
2021-09-21,14:30,1,9,Navi Mumbai,CST,47,6,Low,No,14:30
2021-12-23,17:30,3,12,Malad,Lower Parel,62,42,Very High,No,16:30
2021-10-27,14:45,2,10,Powai,Andheri,41,15,Medium,No,14:45
2022-02-18,18:15,4,2,Vasai,Virar,73,34,Very High,No,17:15
2021-03-29,07:15,0,3,Vasai,Virar,27,19,Medium,No,07:15
2022-08-05,04:15,4,8,Malad,Lower Parel,20,5,Low,No,04:15
2020-02-10,08:30,0,2,Vasai,Virar,89,34,High,No,07:30
2022-09-22,18:30,3,9,Navi Mumbai,CST,82,42,Very High,No,17:30
2022-02-28,06:30,0,2,Bandra,Worli,31,19,Low,No,06:30
2021-11-29,05:15,0,11,Andheri,BKC,48,8,Low,No,05:15
2020-04-03,17:30,4,4,Dadar,Nariman Point,65,30,High,No,16:30
2021-04-01,10:00,3,4,Borivali,Churchgate,63,21,Very High,No,09:00
2020-01-30,23:30,3,1,Navi Mumbai,CST,33,14,Medium,No,23:30
2021-12-11,23:30,5,12,Kandivali,Goregaon,18,4,Medium,No,23:30
2020-03-23,08:15,0,3,Navi Mumbai,CST,46,25,High,No,07:15
2020-05-10,16:00,6,5,Powai,Andheri,35,8,Low,No,16:00
2022-06-26,15:15,6,6,Dadar,Nariman Point,41,4,Low,Yes,15:15
2022-01-06,01:15,3,1,Kandivali,Goregaon,25,1,Low,No,01:15
2021-01-15,04:00,4,1,Thane,Kurla,30,2,Low,No,04:00
2020-12-16,21:15,2,12,Powai,Andheri,50,8,Medium,No,21:15
2021-11-24,13:00,2,11,Vasai,Virar,20,14,Medium,No,13:00
2020-04-15,21:00,2,4,Navi Mumbai,CST,31,11,Low,No,21:00
2020-05-27,14:15,2,5,Vasai,Virar,47,11,Medium,No,14:15
2020-01-27,14:30,0,1,Dadar,Nariman Point,48,6,Medium,No,14:30
2020-11-25,07:15,2,11,Powai,Andheri,47,10,Medium,No,07:15
2022-09-22,07:00,3,9,Kandivali,Goregaon,33,7,Medium,No,07:00
2022-01-12,23:15,2,1,Kandivali,Goregaon,43,19,Low,No,23:15
2021-08-06,19:00,4,8,Bandra,Worli,58,32,Very High,No,18:00
2022-09-02,23:15,4,9,Vasai,Virar,46,22,Medium,Yes,23:15
2022-05-23,05:00,0,5,Borivali,Churchgate,48,19,Medium,No,05:00
2021-11-28,00:30,6,11,Thane,Kurla,19,2,Low,No,00:30
2020-08-11,19:15,1,8,Dadar,Nariman Point,92,35,High,No,18:15
2022-09-14,14:30,2,9,Bandra,Worli,49,22,Medium,Yes,14:30
2020-05-14,19:15,3,5,Bandra,Worli,94,41,Very High,No,18:15
2021-10-09,06:00,5,10,Andheri,BKC,24,10,Medium,No,06:00
2022-06-08,18:45,2,6,Borivali,Churchgate,92,40,Very High,No,17:45
2020-10-23,02:15,4,10,Vasai,Virar,20,0,Low,No,02:15
2020-11-29,19:45,6,11,Powai,Andheri,67,28,Low,No,19:45
2021-10-06,21:00,2,10,Dadar,Nariman Point,28,17,Medium,No,21:00
2022-07-04,01:00,0,7,Navi Mumbai,CST,26,4,Low,Yes,01:00
2021-01-22,04:45,4,1,Borivali,Churchgate,29,2,Low,No,04:45
2020-11-05,01:45,3,11,Malad,Lower Parel,19,3,Low,No,01:45
2020-07-01,18:30,2,7,Borivali,Churchgate,82,42,Very High,No,17:30
2020-04-07,19:00,1,4,Andheri,BKC,72,42,High,No,18:00
2020-08-13,00:45,3,8,Powai,Andheri,15,5,Low,No,00:45
2022-07-17,06:00,6,7,Thane,Kurla,29,12,Low,Yes,06:00
2021-04-14,04:30,2,4,Andheri,BKC,25,4,Low,No,04:30
2022-09-19,12:00,0,9,Vasai,Virar,41,28,Low,Yes,12:00
2020-06-08,21:00,0,6,Bandra,Worli,25,8,Medium,No,21:00
2020-03-14,18:45,5,3,Navi Mumbai,CST,77,27,High,No,17:45
2022-07-02,06:15,5,7,Dadar,Nariman Point,31,9,Low,Yes,06:15
2022-02-20,01:00,6,2,Andheri,BKC,22,1,Low,No,01:00
2020-11-26,11:15,3,11,Bandra,Worli,39,20,Medium,No,11:15
2021-05-27,03:45,3,5,Andheri,BKC,22,1,Low,No,03:45
2020-02-23,10:45,6,2,Bandra,Worli,52,22,Low,No,10:45
2021-12-04,14:30,5,12,Kandivali,Goregaon,17,6,Medium,No,14:30
2020-05-04,23:30,0,5,Bandra,Worli,35,20,Medium,No,23:30
2020-09-08,17:30,1,9,Powai,Andheri,63,35,Very High,No,16:30
2022-01-18,16:00,1,1,Thane,Kurla,33,9,Low,No,16:00
2020-07-07,08:30,1,7,Malad,Lower Parel,94,31,High,Yes,07:30
2021-05-12,18:00,2,5,Bandra,Worli,86,45,Very High,No,17:00
2022-04-22,01:00,4,4,Kandivali,Goregaon,21,3,Low,No,01:00
2022-09-20,02:30,1,9,Andheri,BKC,25,5,Low,No,02:30
2021-08-04,18:45,2,8,Bandra,Worli,58,45,Very High,No,17:45
2022-08-10,05:45,2,8,Malad,Lower Parel,20,11,Medium,No,05:45
2021-02-13,21:45,5,2,Dadar,Nariman Point,40,10,Low,No,21:45
2021-02-19,13:00,4,2,Thane,Kurla,37,10,Medium,No,13:00
2020-02-19,21:15,2,2,Navi Mumbai,CST,25,18,Medium,No,21:15
2022-05-28,19:15,5,5,Borivali,Churchgate,50,22,High,No,18:15
2021-06-23,02:15,2,6,Kandivali,Goregaon,28,0,Low,Yes,02:15
2020-06-24,15:45,2,6,Thane,Kurla,25,18,Medium,No,15:45
2020-10-12,06:45,0,10,Borivali,Churchgate,48,14,Low,No,06:45
2021-08-10,04:30,1,8,Thane,Kurla,27,0,Low,Yes,04:30
2022-04-23,03:15,5,4,Malad,Lower Parel,17,0,Low,No,03:15
2020-06-24,10:15,2,6,Kandivali,Goregaon,68,67,Very High,Yes,09:15
2020-10-27,06:00,1,10,Navi Mumbai,CST,21,9,Medium,No,06:00
2022-09-02,02:45,4,9,Thane,Kurla,21,2,Low,No,02:45
2022-03-05,11:00,5,3,Malad,Lower Parel,20,3,Medium,No,11:00
2020-10-01,20:00,3,10,Vasai,Virar,88,46,Very High,No,19:00
2021-06-21,10:00,0,6,Borivali,Churchgate,72,36,Very High,Yes,09:00
2021-05-19,17:45,2,5,Bandra,Worli,64,43,High,No,16:45
2020-11-09,15:00,0,11,Powai,Andheri,49,18,Low,No,15:00
2020-08-24,07:15,0,8,Bandra,Worli,27,13,Low,Yes,07:15
2021-07-18,07:45,6,7,Kandivali,Goregaon,20,13,Medium,Yes,07:45
2020-11-05,03:00,3,11,Borivali,Churchgate,20,0,Low,No,03:00
2020-02-25,22:45,1,2,Malad,Lower Parel,34,13,Medium,No,22:45
2021-01-04,18:45,0,1,Kandivali,Goregaon,96,50,Very High,No,17:45
2022-08-25,07:15,3,8,Vasai,Virar,23,16,Medium,No,07:15
2021-05-24,18:00,0,5,Thane,Kurla,64,37,High,No,17:00
2021-07-07,14:15,2,7,Vasai,Virar,48,10,Medium,No,14:15
2021-04-24,20:00,5,4,Vasai,Virar,72,18,Low,No,20:00
2020-03-02,09:15,0,3,Malad,Lower Parel,65,42,Very High,No,08:15
2022-05-06,03:30,4,5,Thane,Kurla,23,1,Low,No,03:30
2021-01-15,18:45,4,1,Andheri,BKC,71,31,Very High,No,17:45
2020-11-13,00:15,4,11,Bandra,Worli,21,0,Low,No,00:15
2022-09-02,02:00,4,9,Malad,Lower Parel,22,6,Low,Yes,02:00
2021-09-08,13:15,2,9,Borivali,Churchgate,44,12,Medium,No,13:15
2022-02-02,10:45,2,2,Navi Mumbai,CST,72,43,Very High,No,09:45
2022-01-26,21:00,2,1,Kandivali,Goregaon,26,9,Low,No,21:00
2022-03-05,12:30,5,3,Thane,Kurla,27,11,Medium,No,12:30
2022-09-18,13:15,6,9,Powai,Andheri,17,9,Medium,No,13:15
2021-09-23,21:00,3,9,Powai,Andheri,50,9,Medium,No,21:00
2022-04-19,06:45,1,4,Borivali,Churchgate,32,10,Low,No,06:45
2021-11-09,02:30,1,11,Andheri,BKC,23,0,Low,No,02:30
2021-05-02,02:45,6,5,Bandra,Worli,20,2,Low,No,02:45
2020-11-18,19:15,2,11,Navi Mumbai,CST,65,43,High,Yes,18:15
2020-04-02,15:00,3,4,Dadar,Nariman Point,20,19,Low,No,15:00
2021-03-12,11:45,4,3,Kandivali,Goregaon,35,19,Low,No,11:45
2020-08-31,21:45,0,8,Malad,Lower Parel,50,12,Low,Yes,21:45
2021-12-13,00:30,0,12,Navi Mumbai,CST,17,4,Low,No,00:30
2021-06-24,16:15,3,6,Kandivali,Goregaon,40,25,Medium,Yes,16:15
2021-12-18,16:00,5,12,Navi Mumbai,CST,16,3,Low,No,16:00
2021-04-17,06:30,5,4,Bandra,Worli,18,12,Low,No,06:30
2021-05-05,21:45,2,5,Powai,Andheri,49,9,Low,No,21:45
2022-03-10,16:45,3,3,Thane,Kurla,41,11,Low,No,16:45
2022-05-07,23:00,5,5,Malad,Lower Parel,34,9,Medium,No,23:00
