parking_lot_name,area,total_capacity,occupied_spots,available_spots,occupancy_percentage,date,time,latitude,longitude,price_per_hour,status
Phoenix Palladium Parking,Lower Parel,800,314,486,39.3,2020-05-14,21:45,18.992731167554197,72.8264533260771,80,Available
Infiniti Mall Parking,Andheri,450,165,285,36.8,2021-01-27,23:30,19.135668368361998,72.82921711499857,30,Available
Oberoi Mall Parking,Goregaon,600,459,141,76.6,2022-02-21,10:00,19.153606055286588,72.84867129281346,50,Available
BKC Parking Complex,BKC,500,49,451,9.9,2020-04-13,04:45,19.058825288388896,72.86494964720157,20,Available
Infiniti Mall Parking,Andheri,450,282,168,62.8,2022-05-23,21:30,19.13748930839748,72.82914064359221,80,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2020-12-12,12:15,19.016874503670735,72.8486225403198,80,Limited
Oberoi Mall Parking,Goregaon,600,547,53,91.2,2021-10-03,19:00,19.15508912821474,72.84886524032923,40,Available
Inorbit Mall Parking,Malad,700,407,293,58.2,2020-11-24,09:15,19.17180011636994,72.84744376172185,20,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2021-03-07,20:15,19.01759048590371,72.84833378030918,80,Limited
BKC Parking Complex,BKC,500,58,442,11.7,2021-12-28,02:45,19.060537451537773,72.86531466903885,20,Available
Oberoi Mall Parking,Goregaon,600,550,50,91.7,2020-03-06,13:30,19.153691794812747,72.84823508968718,50,Available
Dadar Station Parking,Dadar,250,25,225,10.2,2022-01-14,02:15,19.01685530902416,72.84840975202496,30,Available
Andheri Metro Parking,Andheri,200,93,107,46.5,2022-02-11,06:45,19.120193161962693,72.84731160529873,20,Available
Thane Station Parking,Thane,300,114,186,38.2,2022-09-13,07:30,19.186787662982677,72.97155684962776,30,Available
Andheri Metro Parking,Andheri,200,131,69,65.7,2020-08-28,14:00,19.12043223325621,72.8470735916086,30,Available
Phoenix Palladium Parking,Lower Parel,800,105,695,13.1,2021-03-09,02:45,18.992693270989935,72.82729145343625,50,Available
R City Mall Parking,Ghatkopar,550,544,6,99.0,2020-08-09,17:45,19.08482746715397,72.90878381534033,80,Limited
Andheri Metro Parking,Andheri,200,87,113,43.6,2021-06-14,06:45,19.120319854859456,72.84728687588182,80,Available
Seawoods Grand Central,Navi Mumbai,400,206,194,51.6,2022-09-10,06:30,19.019377265355818,73.01746506878547,40,Available
Phoenix Palladium Parking,Lower Parel,800,696,104,87.1,2020-06-28,18:45,18.994117809196183,72.82610274184967,60,Available
Dadar Station Parking,Dadar,250,22,228,9.0,2020-07-20,01:30,19.018586415371484,72.84817170991386,30,Available
Infiniti Mall Parking,Andheri,450,445,5,99.0,2020-08-30,11:45,19.13655675704067,72.83006662686475,50,Limited
Seawoods Grand Central,Navi Mumbai,400,35,365,9.0,2020-03-26,05:00,19.019942218903044,73.01669314738697,40,Available
Thane Station Parking,Thane,300,194,106,64.9,2021-01-29,21:30,19.186042800451112,72.97063180226627,50,Available
Oberoi Mall Parking,Goregaon,600,390,210,65.0,2020-08-17,14:15,19.154182095073754,72.8497782109082,50,Available
Oberoi Mall Parking,Goregaon,600,588,12,98.0,2021-09-23,17:45,19.155258187500436,72.84822084127558,80,Available
R City Mall Parking,Ghatkopar,550,531,19,96.7,2021-08-09,17:15,19.085403847244603,72.90898768620052,20,Available
BKC Parking Complex,BKC,500,15,485,3.0,2021-08-07,02:00,19.060240294472777,72.86624939231592,30,Available
BKC Parking Complex,BKC,500,54,446,10.9,2021-09-01,03:30,19.059867649190316,72.86544709409975,40,Available
Dadar Station Parking,Dadar,250,216,34,86.5,2021-10-04,13:45,19.017197767470787,72.84762968840394,80,Available
Oberoi Mall Parking,Goregaon,600,59,541,10.0,2020-02-29,02:45,19.153508101078177,72.84854528459705,80,Available
Dadar Station Parking,Dadar,250,210,40,84.4,2021-11-18,19:45,19.018531441907854,72.84845284639441,40,Available
Phoenix Palladium Parking,Lower Parel,800,329,471,41.2,2021-09-30,09:15,18.992516985566397,72.8270149740396,20,Available
Phoenix Palladium Parking,Lower Parel,800,622,178,77.8,2020-01-19,10:00,18.993335679148686,72.82585549260021,80,Available
R City Mall Parking,Ghatkopar,550,440,110,80.1,2021-11-25,10:15,19.086371590826623,72.9089386452335,30,Available
Thane Station Parking,Thane,300,297,3,99.0,2022-01-02,18:45,19.187283918125015,72.96983806907328,60,Limited
Thane Station Parking,Thane,300,233,67,77.7,2020-12-17,15:45,19.185938006804808,72.9697650153258,60,Available
BKC Parking Complex,BKC,500,363,137,72.6,2021-04-11,23:00,19.059623082482027,72.86512488884026,80,Available
Thane Station Parking,Thane,300,23,277,7.7,2020-04-16,04:30,19.18547241188614,72.97159991913064,40,Available
Infiniti Mall Parking,Andheri,450,33,417,7.6,2021-10-31,05:45,19.137036753720256,72.82980446599379,30,Available
Infiniti Mall Parking,Andheri,450,430,20,95.7,2022-03-12,13:15,19.137126732297887,72.83025059290588,50,Available
BKC Parking Complex,BKC,500,197,303,39.5,2020-08-07,22:30,19.058669465217775,72.86546979538025,20,Available
Seawoods Grand Central,Navi Mumbai,400,32,368,8.1,2020-01-30,01:30,19.02015467243138,73.01626552977974,40,Available
BKC Parking Complex,BKC,500,61,439,12.3,2021-11-26,02:30,19.060552545883223,72.86492534010492,20,Available
Andheri Metro Parking,Andheri,200,185,15,92.8,2021-01-17,10:30,19.119394288555206,72.84866883192485,60,Available
Seawoods Grand Central,Navi Mumbai,400,396,4,99.0,2021-07-10,17:30,19.020480613063043,73.01725222461049,60,Limited
R City Mall Parking,Ghatkopar,550,415,135,75.5,2022-08-31,11:00,19.086305436758487,72.90895609219955,40,Available
Infiniti Mall Parking,Andheri,450,24,426,5.4,2020-08-29,05:30,19.136474360879536,72.8303351740935,40,Available
R City Mall Parking,Ghatkopar,550,309,241,56.4,2021-01-23,16:30,19.086178385990987,72.90909847614336,40,Available
Seawoods Grand Central,Navi Mumbai,400,271,129,67.8,2020-05-21,12:30,19.019946750049932,73.01788591107906,40,Available
Thane Station Parking,Thane,300,16,284,5.6,2021-06-04,05:00,19.185503559977043,72.97156269765742,40,Available
Infiniti Mall Parking,Andheri,450,177,273,39.5,2020-05-16,16:00,19.137151560220378,72.82955912974614,20,Available
Oberoi Mall Parking,Goregaon,600,260,340,43.5,2021-11-19,08:00,19.154972511742447,72.84955466238803,40,Available
Seawoods Grand Central,Navi Mumbai,400,264,136,66.2,2021-04-17,08:15,19.020531583679347,73.01770400304474,80,Available
Inorbit Mall Parking,Malad,700,378,322,54.1,2021-04-11,16:30,19.17198104293261,72.8475745125874,30,Available
Phoenix Palladium Parking,Lower Parel,800,362,438,45.3,2021-03-13,22:15,18.99264099983278,72.82561115788243,80,Available
Seawoods Grand Central,Navi Mumbai,400,142,258,35.7,2020-08-24,23:00,19.01922944756712,73.0168174287097,50,Available
Thane Station Parking,Thane,300,146,154,48.9,2020-08-03,07:45,19.186356424470787,72.97010434482958,30,Available
Dadar Station Parking,Dadar,250,140,110,56.0,2021-10-20,06:00,19.017342209956123,72.84686922343032,30,Available
Dadar Station Parking,Dadar,250,123,127,49.4,2022-09-20,08:00,19.01847880429079,72.84852832778705,80,Available
R City Mall Parking,Ghatkopar,550,198,352,36.0,2020-07-02,07:30,19.08541244783324,72.90788156019434,80,Available
R City Mall Parking,Ghatkopar,550,404,146,73.6,2020-11-30,11:45,19.086056401931142,72.9074565822474,40,Available
Andheri Metro Parking,Andheri,200,156,44,78.0,2021-12-27,11:15,19.119656446244637,72.84796241712591,80,Available
Andheri Metro Parking,Andheri,200,168,32,84.2,2020-02-08,15:45,19.119252181702006,72.84783431655126,50,Available
Thane Station Parking,Thane,300,182,118,60.7,2021-11-08,09:00,19.18670655497632,72.97089245109038,30,Available
Inorbit Mall Parking,Malad,700,23,677,3.4,2020-11-15,05:00,19.173085300005933,72.84862533772336,20,Available
Dadar Station Parking,Dadar,250,87,163,35.1,2022-06-18,09:30,19.01786655479351,72.84836029641588,30,Available
Phoenix Palladium Parking,Lower Parel,800,750,50,93.8,2021-10-17,10:30,18.993343521936247,72.82605092696494,20,Available
Dadar Station Parking,Dadar,250,162,88,65.0,2021-04-15,09:00,19.0169851856847,72.84762728213869,60,Available
Dadar Station Parking,Dadar,250,8,242,3.4,2020-12-28,05:45,19.018054947007567,72.84771885295314,60,Available
Phoenix Palladium Parking,Lower Parel,800,254,546,31.8,2021-04-12,23:45,18.993818500606398,72.82564881833999,60,Available
Inorbit Mall Parking,Malad,700,47,653,6.8,2022-01-03,00:00,19.171657025863055,72.84723404241811,60,Available
Phoenix Palladium Parking,Lower Parel,800,660,140,82.5,2021-10-22,12:30,18.994410947845466,72.82548265099669,50,Available
Phoenix Palladium Parking,Lower Parel,800,753,47,94.1,2021-11-17,17:15,18.994270274292116,72.82651058684716,20,Available
Dadar Station Parking,Dadar,250,132,118,53.0,2022-09-20,07:30,19.018708038927176,72.847034763288,80,Available
Oberoi Mall Parking,Goregaon,600,570,30,95.0,2020-02-01,19:00,19.154257763773625,72.84910473454522,80,Available
Dadar Station Parking,Dadar,250,158,92,63.2,2020-12-19,22:45,19.01746563604643,72.84862374809086,30,Available
BKC Parking Complex,BKC,500,170,330,34.2,2020-12-29,08:00,19.060245294190672,72.86578446203286,80,Available
Inorbit Mall Parking,Malad,700,498,202,71.2,2022-09-23,11:45,19.171937225291956,72.84723554167897,80,Available
Infiniti Mall Parking,Andheri,450,235,215,52.2,2021-06-26,23:15,19.136148303526973,72.82991781584273,50,Available
Infiniti Mall Parking,Andheri,450,373,77,83.1,2022-05-24,19:00,19.137235030162405,72.82987182073549,30,Available
