holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,road_name
None,298.56,5.5,0.0,17,Rain,light rain,2020-01-01 00:00:00,289,Ghodbunder Road
None,298.36,1.87,0.0,64,Rain,light rain,2020-01-01 01:00:00,403,Ghodbunder Road
None,298.86,0.0,0.0,28,Haze,haze,2020-01-01 02:00:00,206,Andheri-Kurla Road
None,299.04,0.0,0.0,43,Haze,haze,2020-01-01 03:00:00,544,Sion-Panvel Highway
None,296.41,0.0,0.0,44,Clouds,overcast clouds,2020-01-01 04:00:00,670,Western Express Highway
None,298.14,0.0,0.0,10,Haze,haze,2020-01-01 05:00:00,3313,NH-48 Mumbai-Pune
None,299.45,0.0,0.0,5,Clear,sky is clear,2020-01-01 06:00:00,1663,Andheri-Kurla Road
None,299.42,0.0,0.0,35,Haze,haze,2020-01-01 07:00:00,1833,SV Road
Holi,297.48,0.0,0.0,89,Clouds,overcast clouds,2020-01-01 08:00:00,3497,Eastern Express Highway
None,298.54,0.0,0.0,20,Clouds,broken clouds,2020-01-01 09:00:00,6781,Andheri-Kurla Road
None,296.88,0.0,0.0,29,Clear,sky is clear,2020-01-01 10:00:00,6143,SV Road
None,297.07,0.0,0.0,91,Mist,mist,2020-01-01 11:00:00,2310,Jogeshwari-Vikhroli Link Road
None,299.54,0.0,0.0,33,Clouds,broken clouds,2020-01-01 12:00:00,2603,Ghodbunder Road
None,297.05,0.0,0.0,51,Mist,mist,2020-01-01 13:00:00,2543,LBS Marg
None,297.97,0.0,0.0,19,Clear,sky is clear,2020-01-01 14:00:00,2721,Link Road
None,296.25,0.0,0.0,67,Haze,haze,2020-01-01 15:00:00,3262,Ghodbunder Road
None,299.77,0.0,0.0,87,Clear,sky is clear,2020-01-01 16:00:00,3074,Andheri-Kurla Road
None,298.56,0.0,0.0,20,Haze,haze,2020-01-01 17:00:00,7050,Andheri-Kurla Road
None,299.05,0.0,0.0,80,Clear,sky is clear,2020-01-01 18:00:00,7494,Ghodbunder Road
Republic Day,296.8,0.0,0.0,69,Clouds,broken clouds,2020-01-01 19:00:00,2501,Ghodbunder Road
None,298.4,0.0,0.0,46,Clear,sky is clear,2020-01-01 20:00:00,5980,Andheri-Kurla Road
None,296.23,0.0,0.0,10,Clear,sky is clear,2020-01-01 21:00:00,3057,Eastern Express Highway
None,298.13,0.0,0.0,70,Haze,haze,2020-01-01 22:00:00,3286,Ghodbunder Road
None,298.43,0.0,0.0,96,Mist,mist,2020-01-01 23:00:00,2960,Sion-Panvel Highway
None,297.25,0.0,0.0,56,Clouds,overcast clouds,2020-01-02 00:00:00,323,Jogeshwari-Vikhroli Link Road
None,296.99,0.0,0.0,75,Clear,sky is clear,2020-01-02 01:00:00,425,NH-48 Mumbai-Pune
